,Student name,Image_ID,Dissected?,Replicate,Pop,Assay,Parent_Gen,Incubator_Temp,WB_Temp,Sex,Femur_Length,Wing_Length,Body_Area,Comments,No_wing,No_femur
,,IMG00001,N,1,1,PA,0,Random,23,F,NA,NA,1058.706,,,
,,IMG00002,Y,1,1,PA,0,Random,23,F,12.826,50.259,NA,,,
,,IMG00003,N,2,1,PA,0,Random,23,F,NA,NA,1100.825,,,
,,IMG00004,Y,2,1,PA,0,Random,23,F,12.554,49.871,NA,,,
,,IMG00005,N,3,1,PA,0,Random,23,F,NA,NA,994.225,,,
,,IMG00006,Y,3,1,PA,0,Random,23,F,15.307,50.602,NA,,,
,Trisha,IMG05330,N,4,1,PA,0,Random,23,F,NA,NA,1019.283,,,
,Trisha,IMG05331,Y,4,1,PA,0,Random,23,F,12.994,54.854,NA,,,
,Trisha,IMG05332,N,5,1,PA,0,Random,23,F,NA,NA,906.576,,,
,Trisha,IMG05333,Y,5,1,PA,0,Random,23,F,11.341,52.255,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00952,N,1,1,PA,0,Random,25,F,NA ,NA,738.858,,,
,,IMG00953,Y,1,1,PA,0,Random,25,F,12.086,42.692,NA,,,
,,IMG00954,N,2,1,PA,0,Random,25,F,NA,NA,693.003,,,
,,IMG00955,Y,2,1,PA,0,Random,25,F,13.595,43.77,NA,,,
,,IMG00956,N,3,1,PA,0,Random,25,F,NA,NA,739.14,,,
,,IMG00957,Y,3,1,PA,0,Random,25,F,12.026,44.054,NA,,,
,Trisha,IMG05362,N,4,1,PA,0,Random,25,F,NA,NA,950.538,,,
,Trisha,IMG05363,Y,4,1,PA,0,Random,25,F,13.117,54.336,NA,,,
,Trisha,IMG05364,N,5,1,PA,0,Random,25,F,NA,NA,929.82,,,
,Trisha,IMG05365,Y,5,1,PA,0,Random,25,F,12.896,54.933,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01006,N,1,1,PA,0,Random,27,F,NA,NA,845.139,,,
,,IMG01007,Y,1,1,PA,0,Random,27,F,13.778,42.825,NA,,,
,,IMG01008,N,2,1,PA,0,Random,27,F,NA,NA,984.75,,,
,,IMG01009,Y,2,1,PA,0,Random,27,F,12.856,49.403,NA,,,
,,IMG01010,N,3,1,PA,0,Random,27,F,NA,NA,917.932,,,
,,IMG01011,Y,3,1,PA,0,Random,27,F,12.931,45.29,NA,,,
,Trisha,IMG05394,N,4,1,PA,0,Random,27,F,NA,NA,938.007,,,
,Trisha,IMG05395,Y,4,1,PA,0,Random,27,F,12.208,49.039,NA,,,
,Trisha,IMG05396,N,5,1,PA,0,Random,27,F,NA,NA,933.781,,,
,Trisha,IMG05397,Y,5,1,PA,0,Random,27,F,12.509,44.357,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01060,N,1,1,PA,0,Random,29,F,NA,NA,921.863,,,
,,IMG01061,Y,1,1,PA,0,Random,29,F,11.008,44.311,NA,,,
,,IMG01062,N,2,1,PA,0,Random,29,F,NA,NA,722.682,,,
